2022-07-08 18:36:21 INFO     [go-micro.cleanup-container] Stop containers...
2022-07-08 18:36:21 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker stop go-micro-front-end
2022-07-08 18:36:21 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-front-end
2022-07-08 18:36:21 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker stop go-micro-broker-service
2022-07-08 18:36:21 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-broker-service
2022-07-08 18:36:21 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker stop go-micro-authen-service
2022-07-08 18:36:21 VERBOSE  [go-micro.cleanup-container.run-command] Result: Error response from daemon: No such container: go-micro-authen-service
2022-07-08 18:36:21 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker stop go-micro-logger-service
2022-07-08 18:36:22 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-logger-service
2022-07-08 18:36:22 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker stop go-micro-postgres
2022-07-08 18:36:22 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-postgres
2022-07-08 18:36:22 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker stop go-micro-mongo
2022-07-08 18:36:22 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-mongo
2022-07-08 18:36:22 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker stop go-micro-mailhog
2022-07-08 18:36:22 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-mailhog
2022-07-08 18:36:22 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker stop go-micro-mailer-service
2022-07-08 18:36:22 VERBOSE  [go-micro.cleanup-container.run-command] Result: Error response from daemon: No such container: go-micro-mailer-service
2022-07-08 18:36:22 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker stop go-micro-rabbitmq
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-rabbitmq
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker stop go-micro-listener-express
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Result: Error response from daemon: No such container: go-micro-listener-express
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker stop go-micro-mongo-express
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Result: Error response from daemon: No such container: go-micro-mongo-express
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker network rm go-micro
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Result: Error response from daemon: error while removing network: network go-micro id aa86973e8f2124c6d0456288fca4e3dd5ad6c9cacfe34609b3b4f0cc4719dfbb has active endpoints
2022-07-08 18:36:29 INFO     [go-micro.cleanup-container] Stop containers successfully
2022-07-08 18:36:29 INFO     [go-micro.cleanup-container] Remove containers...
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker rm go-micro-front-end
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-front-end
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker rm go-micro-broker-service
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-broker-service
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker rm go-micro-authen-service
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Result: Error: No such container: go-micro-authen-service
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker rm go-micro-logger-service
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-logger-service
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker rm go-micro-postgres
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-postgres
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker rm go-micro-mongo
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-mongo
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Running command: docker rm go-micro-mailhog
2022-07-08 18:36:29 VERBOSE  [go-micro.cleanup-container.run-command] Result: go-micro-mailhog
